         891           4           3
Mon Jul 11 16:08:31 2005
classA_77_86.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      8.19541   0.00979473     0.312272      0.00000
      8.19797  0.000572716     0.447577      0.00000
      8.20053   0.00287448     0.434669      0.00000
      8.20310    0.0136802     0.357966      0.00000
      8.20566    0.0142008     0.361528      0.00000
      8.20822   0.00695466     0.325978      0.00000
      8.21079  0.000612895     0.414597      0.00000
      8.21336   0.00764937     0.490949      0.00000
      8.21592   0.00920060     0.416186      0.00000
      8.21849  -0.00242935     0.402330      0.00000
      8.22106   -0.0102722     0.303592      0.00000
      8.22363  -0.00774208     0.438391      0.00000
      8.22620   0.00305054     0.452040      0.00000
      8.22877   0.00498181     0.285304      0.00000
      8.23134   0.00744916     0.189665      0.00000
      8.23391    0.0114279     0.249887      0.00000
      8.23649    0.0185835     0.439429      0.00000
      8.23906    0.0252201     0.511124      0.00000
      8.24164    0.0291452     0.421317      0.00000
      8.24421    0.0236429     0.326177      0.00000
      8.24679    0.0159931     0.302919      0.00000
      8.24937    0.0164703     0.285687      0.00000
      8.25195    0.0190710     0.274325      0.00000
      8.25453    0.0262564     0.235631      0.00000
      8.25710    0.0304232     0.375973      0.00000
      8.25969    0.0336099     0.443537      0.00000
      8.26227    0.0290909     0.398685      0.00000
      8.26485    0.0191006     0.306524      0.00000
      8.26743    0.0212198     0.266424      0.00000
      8.27002    0.0316974     0.404946      0.00000
      8.27260    0.0439349     0.383594      0.00000
      8.27519    0.0516057     0.416693      0.00000
      8.27777    0.0499744     0.403034      0.00000
      8.28036    0.0439167     0.271350      0.00000
      8.28295    0.0378036     0.154640      0.00000
      8.28554    0.0368749     0.299640      0.00000
      8.28813    0.0347471     0.337488      0.00000
      8.29072    0.0332291     0.326441      0.00000
      8.29331    0.0382900     0.271593      0.00000
      8.29590    0.0582036     0.186270      0.00000
      8.29849    0.0759607     0.233934      0.00000
      8.30109    0.0886179     0.250469      0.00000
      8.30368    0.0914808     0.412620      0.00000
      8.30628    0.0943922     0.430183      0.00000
      8.30887    0.0938074     0.406253      0.00000
      8.31147    0.0892405     0.596006      0.00000
      8.31407    0.0936668     0.516745      0.00000
      8.31667    0.0945412     0.299767      0.00000
      8.31927    0.0954242     0.374204      0.00000
      8.32187    0.0917636     0.344065      0.00000
      8.32447    0.0882658     0.360803      0.00000
      8.32707    0.0793133     0.332651      0.00000
      8.32967    0.0741285     0.283261      0.00000
      8.33228    0.0798976     0.457521      0.00000
      8.33488    0.0876995     0.385573      0.00000
      8.33748    0.0904624     0.333659      0.00000
      8.34009    0.0886767     0.396092      0.00000
      8.34270    0.0980412     0.290362      0.00000
      8.34530    0.0987957     0.207217      0.00000
