         426           4           3
Mon Jul 11 15:35:17 2005
classB_11.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      11.5025     0.218313      3.32653      7.00000
      11.5052     0.207054      2.46481      7.00000
      11.5080     0.207048      1.86244      7.00000
      11.5113     0.214043      3.19600      7.00000
      11.5140     0.219263      3.29979      7.00000
      11.5167     0.213381      3.32722      7.00000
      11.5197     0.194956      3.83569      7.00000
      11.5227     0.171351      3.22274      7.00000
      11.5254     0.152542      1.95675      7.00000
      11.5282     0.145450      2.17702      7.00000
      11.5314     0.150964      3.65204      7.00000
      11.5342     0.162457      2.71537      7.00000
      11.5369     0.169466      1.70431      7.00000
      11.5399     0.165063      2.55486      7.00000
      11.5429     0.150643      4.42739      7.00000
      11.5456     0.131922      3.21862      7.00000
      11.5484     0.117208      3.18271      7.00000
      11.5516     0.112966      3.11696      7.00000
      11.5544     0.119014      2.27382      7.00000
      11.5571     0.128413      2.92530      7.00000
      11.5601     0.133094      3.01749      7.00000
      11.5631     0.128094      3.42032      7.00000
      11.5659     0.114377      2.39976      7.00000
      11.5686    0.0991692      3.09723      7.00000
      11.5719    0.0906360      2.63447      7.00000
      11.5746    0.0929145      2.99416      7.00000
      11.5773     0.104620      3.08322      7.00000
      11.5803     0.118013      3.77378      7.00000
      11.5833     0.123131      2.81886      7.00000
      11.5861     0.116331      2.24685      7.00000
      11.5888     0.101880      2.99825      7.00000
      11.5921    0.0890394      2.03587      7.00000
      11.5948    0.0848936      2.17556      7.00000
      11.5976    0.0937460      2.93494      7.00000
      11.6008     0.109858      3.13661      7.00000
      11.6036     0.123928      2.77960      7.00000
      11.6063     0.127003      2.88355      7.00000
      11.6096     0.117381      2.75006      7.00000
      11.6123    0.0994661      1.91864      7.00000
      11.6151    0.0828705      2.91220      7.00000
      11.6181    0.0749666      2.17175      7.00000
      11.6211    0.0783253      2.70244      7.00000
      11.6238    0.0896435      3.11742      7.00000
      11.6265     0.101082      3.26192      7.00000
      11.6298     0.104008      3.09638      7.00000
      11.6326    0.0957247      3.98584      7.00000
      11.6354    0.0797620      3.64945      7.00000
      11.6386    0.0643829      2.48595      7.00000
      11.6413    0.0568088      2.89349      7.00000
      11.6441    0.0611087      3.45586      7.00000
      11.6474    0.0726290      3.69392      7.00000
      11.6501    0.0833079      2.78638      7.00000
      11.6528    0.0848587      3.20297      7.00000
      11.6561    0.0743105      2.72103      7.00000
      11.6589    0.0557509      3.13506      7.00000
      11.6616    0.0388003      3.08267      7.00000
      11.6646    0.0321689      2.95112      7.00000
      11.6676    0.0372671      2.77609      7.00000
      11.6704    0.0500803      3.23018      7.00000
      11.6731    0.0617910      3.45529      7.00000
      11.6764    0.0640480      3.12495      7.00000
      11.6791    0.0541923      3.72174      7.00000
      11.6819    0.0372972      3.96886      7.00000
      11.6852    0.0221463      3.18329      7.00000
      11.6879    0.0159358      2.68556      7.00000
      11.6907    0.0221644      3.22007      7.00000
      11.6939    0.0350473      2.09357      7.00000
      11.6967    0.0456278      2.14268      7.00000
      11.6994    0.0450948      2.87184      7.00000
      11.7027    0.0332096      3.06136      7.00000
      11.7055    0.0145592      2.53353      7.00000
      11.7082  -0.00134440      2.70351      7.00000
      11.7115  -0.00603938      2.54464      7.00000
      11.7142   0.00320857      2.12495      7.00000
      11.7170    0.0200301      2.55111      7.00000
      11.7203    0.0332946      2.63543      7.00000
      11.7230    0.0353531      2.54269      7.00000
      11.7258    0.0247882      2.88244      7.00000
      11.7291   0.00764953      2.15738      7.00000
      11.7318  -0.00788331      1.73330      7.00000
      11.7346   -0.0121916      1.78121      7.00000
      11.7379  -0.00373383      2.45771      7.00000
      11.7406    0.0117735      3.16700      7.00000
      11.7436    0.0239597      1.97338      7.00000
      11.7466    0.0272040      1.75552      7.00000
      11.7494    0.0199011      2.37277      7.00000
      11.7527   0.00700281      2.16081      7.00000
      11.7554  -0.00287388      2.20084      7.00000
      11.7582  -0.00174018      2.12108      7.00000
      11.7615    0.0108998      2.40956      7.00000
      11.7642    0.0301024      3.00697      7.00000
      11.7670    0.0475023      2.84073      7.00000
      11.7703    0.0550580      1.95136      7.00000
      11.7730    0.0502293      2.75781      7.00000
      11.7758    0.0372916      3.44169      7.00000
      11.7791    0.0253759      2.47531      7.00000
      11.7818    0.0219835      3.53483      7.00000
      11.7846    0.0298901      3.48220      7.00000
      11.7879    0.0445900      3.45818      7.00000
      11.7906    0.0585346      3.16032      7.00000
      11.7936    0.0643161      2.89311      7.00000
      11.7967    0.0592833      2.93015      7.00000
      11.7994    0.0471384      4.58200      7.00000
      11.8027    0.0368609      3.17334      7.00000
      11.8055    0.0351240      2.65436      7.00000
      11.8082    0.0442526      4.64411      7.00000
      11.8115    0.0593444      4.81258      7.00000
      11.8143    0.0728534      3.94494      7.00000
      11.8170    0.0752227      4.08094      7.00000
      11.8203    0.0651115      4.49363      7.00000
      11.8231    0.0455516      3.41546      7.00000
      11.8261    0.0270640      2.14542      7.00000
      11.8291    0.0171948      3.19621      7.00000
      11.8319    0.0201292      2.96345      7.00000
