         568           4           3
Mon Jul 11 16:09:02 2005
classC_77_86.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      8.39909     0.810519     0.206346      7.00000
      8.40329     0.835000     0.270812      7.00000
      8.40750     0.815685     0.271194      7.00000
      8.41170     0.781457     0.253995      7.00000
      8.41591     0.779759     0.225308      7.00000
      8.42012     0.797040     0.311693      7.00000
      8.42433     0.816830     0.353824      7.00000
      8.42854     0.804533     0.308834      7.00000
      8.43276     0.776597     0.291305      7.00000
      8.43697     0.752370     0.349890      7.00000
      8.44119     0.730851     0.393313      7.00000
      8.44541     0.729953     0.352257      7.00000
      8.44964     0.743810     0.243748      7.00000
      8.45386     0.769179     0.293865      7.00000
      8.45809     0.775898     0.308064      7.00000
      8.46232     0.745200     0.282192      7.00000
      8.46655     0.702416     0.199767      7.00000
      8.47079     0.695161     0.223218      7.00000
      8.47503     0.704087     0.213839      7.00000
      8.47926     0.686154     0.292957      7.00000
      8.48350     0.675709     0.289353      7.00000
      8.48775     0.679061     0.223587      7.00000
      8.49199     0.720329     0.220898      7.00000
      8.49624     0.721318     0.181700      7.00000
      8.50049     0.714429     0.109149      7.00000
      8.50474     0.687593     0.224960      7.00000
      8.50899     0.675775     0.185241      7.00000
      8.51325     0.681120     0.175326      7.00000
      8.51751     0.737232     0.342046      7.00000
      8.52177     0.762160     0.361373      7.00000
      8.52603     0.754037     0.269834      7.00000
      8.53029     0.692016     0.230000      7.00000
      8.53456     0.682617     0.336415      7.00000
      8.53883     0.704562     0.425516      7.00000
      8.54310     0.715581     0.211953      7.00000
      8.54737     0.698547     0.218068      7.00000
      8.55164     0.674782     0.309099      7.00000
      8.55592     0.690517     0.419345      7.00000
      8.56020     0.723886     0.418190      7.00000
      8.56448     0.726406     0.270527      7.00000
      8.56877     0.702784     0.265734      7.00000
      8.57305     0.649376     0.305949      7.00000
      8.57734     0.630170     0.358304      7.00000
      8.58163     0.649351     0.248834      7.00000
      8.58592     0.670384     0.201953      7.00000
      8.59021     0.682508     0.197969      7.00000
      8.59451     0.647544     0.214186      7.00000
      8.59881     0.653258     0.273616      7.00000
      8.60311     0.648794     0.243743      7.00000
      8.60741     0.630450     0.279823      7.00000
      8.61172     0.589957     0.307331      7.00000
      8.61602     0.590608     0.320491      7.00000
      8.62033     0.610157     0.261880      7.00000
      8.62464     0.629032     0.200283      7.00000
      8.62896     0.633709     0.208560      7.00000
      8.63327     0.648037     0.218640      7.00000
      8.63759     0.666205     0.241557      7.00000
      8.64191     0.655010     0.284167      7.00000
      8.64623     0.664182     0.259599      7.00000
      8.65056     0.673522     0.168996      7.00000
      8.65488     0.703944     0.250693      7.00000
      8.65921     0.694832     0.297350      7.00000
      8.66354     0.686637     0.241625      7.00000
      8.66787     0.668382     0.191731      7.00000
      8.67221     0.667109     0.142400      7.00000
      8.67655     0.657386     0.162838      7.00000
      8.68089     0.618243     0.248099      7.00000
      8.68523     0.593150     0.346371      7.00000
      8.68957     0.605845     0.381518      7.00000
      8.69392     0.643416     0.172878      7.00000
      8.69827     0.674585     0.127000      7.00000
      8.70262     0.671805     0.106867      7.00000
      8.70697     0.656462     0.186601      7.00000
      8.71132     0.656280     0.372965      7.00000
      8.71568     0.658349     0.386299      7.00000
      8.72004     0.670384     0.230201      7.00000
      8.72440     0.676654     0.211375      7.00000
      8.72876     0.689656     0.274759      7.00000
      8.73313     0.682085     0.355726      7.00000
      8.73750     0.640470     0.243627      7.00000
      8.74187     0.567522     0.219316      7.00000
      8.74624     0.532626     0.246473      7.00000
      8.75061     0.522460     0.291446      7.00000
      8.75499     0.528476     0.385449      7.00000
      8.75937     0.525536     0.259498      7.00000
      8.76375     0.517891     0.183613      7.00000
      8.76813     0.506707     0.188645      7.00000
      8.77252     0.506858     0.293262      7.00000
      8.77690     0.501737     0.298445      7.00000
      8.78129     0.506114     0.288790      7.00000
      8.78568     0.505418     0.256339      7.00000
      8.79008     0.532037     0.208428      7.00000
      8.79447     0.530479     0.248397      7.00000
      8.79887     0.511254     0.182348      7.00000
      8.80327     0.468726     0.155382      7.00000
      8.80768     0.453868     0.175012      7.00000
      8.81208     0.457931     0.178495      7.00000
      8.81649     0.456470     0.156538      7.00000
      8.82090     0.455829     0.193695      7.00000
      8.82531     0.441886     0.204295      7.00000
      8.82972     0.465607     0.154634      7.00000
      8.83414     0.475846     0.252231      7.00000
      8.83856     0.452122     0.329234      7.00000
      8.84298     0.393343     0.383964      7.00000
      8.84740     0.383023     0.389736      7.00000
      8.85182     0.406759     0.270091      7.00000
      8.85625     0.417152     0.205619      7.00000
      8.86068     0.412071     0.283831      7.00000
      8.86511     0.393242     0.330164      7.00000
      8.86955     0.401826     0.239217      7.00000
      8.87398     0.396304     0.224483      7.00000
      8.87842     0.406987     0.185118      7.00000
      8.88286     0.397773     0.239911      7.00000
      8.88730     0.384748     0.271951      7.00000
      8.89175     0.383940     0.190169      7.00000
      8.89619     0.396813     0.155133      7.00000
      8.90064     0.383827     0.196024      7.00000
      8.90510     0.379784     0.323188      7.00000
      8.90955     0.361453     0.292273      7.00000
      8.91401     0.362317     0.280908      7.00000
      8.91846     0.324460     0.269991      7.00000
      8.92292     0.293651     0.346834      7.00000
      8.92739     0.310772     0.395483      7.00000
      8.93185     0.346101     0.180487      7.00000
      8.93632     0.390056     0.189907      7.00000
      8.94079     0.380927     0.214347      7.00000
      8.94526     0.377577     0.212277      7.00000
      8.94973     0.379495     0.229485      7.00000
      8.95421     0.381092     0.296607      7.00000
      8.95869     0.364912     0.434306      7.00000
      8.96317     0.332456     0.451895      7.00000
      8.96765     0.327994     0.437109      7.00000
      8.97213     0.308093     0.401061      7.00000
      8.97662     0.290267     0.286259      7.00000
      8.98111     0.278639     0.218713      7.00000
      8.98560     0.311073     0.277371      7.00000
      8.99010     0.345507     0.252871      7.00000
      8.99459     0.324998     0.204456      7.00000
      8.99909     0.240380     0.349656      7.00000
      9.00359     0.214644     0.548312      7.00000
      9.00809     0.215858     0.423161      7.00000
      9.01260     0.258794     0.316048      7.00000
      9.01711     0.228979     0.371385      7.00000
      9.02162     0.215558     0.354910      7.00000
      9.02613     0.224476     0.391703      7.00000
      9.03064     0.230642     0.324654      7.00000
      9.03516     0.192943     0.326932      7.00000
      9.03968     0.166240     0.414044      7.00000
      9.04420     0.186956     0.438742      7.00000
      9.04872     0.234720     0.271879      7.00000
      9.05325     0.240455     0.186124      7.00000
      9.05778     0.215092     0.288899      7.00000
      9.06231     0.212784     0.324029      7.00000
      9.06684     0.197869     0.316632      7.00000
      9.07137     0.171252     0.283724      7.00000
      9.07591     0.142425     0.229355      7.00000
      9.08045     0.175370     0.336810      7.00000
      9.08499     0.198720     0.223720      7.00000
      9.08953     0.178245     0.357183      7.00000
      9.09408     0.138346     0.423804      7.00000
      9.09863     0.152468     0.317874      7.00000
      9.10318     0.187844     0.335058      7.00000
      9.10773     0.211898     0.348540      7.00000
      9.11229     0.207215     0.370073      7.00000
      9.11684     0.208002     0.302792      7.00000
      9.12140     0.212054     0.346653      7.00000
      9.12597     0.214841     0.385615      7.00000
      9.13053     0.190339     0.319616      7.00000
      9.13510     0.169057     0.406852      7.00000
      9.13966     0.176126     0.519101      7.00000
      9.14423     0.181861     0.220756      7.00000
      9.14881     0.184068     0.246732      7.00000
      9.15338     0.150432     0.333499      7.00000
      9.15796     0.154969     0.193756      7.00000
      9.16254     0.145408     0.198113      7.00000
      9.16712     0.152126     0.254728      7.00000
      9.17171     0.134963     0.314021      7.00000
      9.17630     0.160587     0.377841      7.00000
      9.18089     0.176049     0.319840      7.00000
      9.18548     0.210547     0.263858      7.00000
      9.19007     0.160566     0.316030      7.00000
      9.19467     0.133396     0.399984      7.00000
      9.19927     0.126271     0.369690      7.00000
      9.20387     0.195040     0.323804      7.00000
      9.20847     0.224986     0.464586      7.00000
      9.21307     0.190135     0.593503      7.00000
      9.21768     0.103363     0.724616      7.00000
      9.22229    0.0314185     0.672949      7.00000
      9.22690   -0.0100445     0.645629      7.00000
      9.23152    0.0136490     0.791140      7.00000
      9.23614    0.0491554     0.499808      7.00000
      9.24076    0.0696435     0.342757      7.00000
      9.24538    0.0670897     0.349072      7.00000
      9.25000    0.0335343     0.404576      7.00000
      9.25463    0.0332954     0.358352      7.00000
      9.25926    0.0227244     0.214754      7.00000
      9.26389    0.0140631     0.243773      7.00000
      9.26852    0.0173292     0.242556      7.00000
      9.27315    0.0340873     0.325245      7.00000
      9.27779    0.0482023     0.371488      7.00000
      9.28243    0.0413546     0.321438      7.00000
      9.28708    0.0254242     0.310889      7.00000
      9.29172    0.0432278     0.338900      7.00000
      9.29637    0.0883974     0.239158      7.00000
      9.30102     0.115471     0.278672      7.00000
      9.30567     0.106753     0.302826      7.00000
      9.31032     0.104760     0.300120      7.00000
      9.31498    0.0940760     0.259688      7.00000
      9.31964     0.106498     0.248352      7.00000
      9.32430     0.108086     0.321570      7.00000
      9.32896     0.136709     0.537961      7.00000
      9.33363     0.106345     0.549890      7.00000
      9.33829    0.0627225     0.398406      7.00000
      9.34297    0.0321665     0.415251      7.00000
      9.34764     0.100729     0.466081      7.00000
      9.35231     0.115210     0.473772      7.00000
      9.35699     0.111376     0.333486      7.00000
      9.36167    0.0452401     0.298433      7.00000
      9.36635    0.0497195     0.364232      7.00000
      9.37104    0.0353364     0.230532      7.00000
      9.37572    0.0411837     0.187624      7.00000
      9.38041   -0.0136810     0.241056      7.00000
      9.38510   -0.0263822     0.384699      7.00000
      9.38980   0.00199821     0.548100      7.00000
      9.39449    0.0306686     0.320310      7.00000
      9.39919  -0.00796759     0.302823      7.00000
      9.40389   -0.0558982     0.248816      7.00000
      9.40860   -0.0302981     0.375656      7.00000
      9.41330    0.0213316     0.282651      7.00000
      9.41801    0.0382555     0.283316      7.00000
      9.42272    0.0269333     0.288339      7.00000
      9.42743    0.0555013     0.303660      7.00000
      9.43215    0.0928375     0.200875      7.00000
      9.43686     0.121457     0.194455      7.00000
      9.44158     0.129483     0.175372      7.00000
      9.44630     0.117951     0.378926      7.00000
      9.45103    0.0892959     0.511138      7.00000
      9.45576    0.0760594     0.527436      7.00000
      9.46048    0.0651030     0.659739      7.00000
      9.46522    0.0712194     0.561792      7.00000
      9.46995    0.0265496     0.289716      7.00000
      9.47469  -0.00379847     0.212162      7.00000
      9.47942   -0.0214116     0.272643      7.00000
      9.48417   -0.0112969     0.336760      7.00000
      9.48891  -0.00112087     0.307408      7.00000
      9.49365   -0.0147547     0.256323      7.00000
